StudentID,Age,StudyHoursPerWeek,AttendanceRate,AssignmentCompletionRate,PreviousGPA,TestAverage,ClassParticipation,HomeworkHoursPerWeek,SleepHoursPerDay,ScreenTimeHoursPerDay,ParentalSupport,MotivationLevel,StressLevel,Tutoring,ExtracurricularActivities,InternetAccess,GPA
STU000001,16,17.9,82.8,74.7,2.53,90.3,45.4,6.8,7.9,1.0,2,6,1,1,1,1,2.42
STU000002,16,17.6,95.9,77.5,3.2,76.5,70.9,5.5,6.2,1.0,3,2,10,0,1,1,2.58
STU000003,16,18.7,80.1,85.5,3.21,69.1,73.8,5.2,7.2,5.3,4,5,3,0,0,1,2.68
STU000004,17,20.1,91.8,88.1,3.04,74.7,79.2,1.3,7.3,7.2,4,9,7,0,1,1,3.06
STU000005,19,20.8,88.4,81.6,2.39,79.4,70.6,10.6,7.6,5.5,4,6,5,0,1,1,2.19
STU000006,17,8.0,80.2,72.0,3.39,96.2,57.2,11.7,7.3,3.2,3,9,1,1,1,0,2.67
STU000007,21,9.1,78.5,87.8,2.61,96.6,66.0,10.5,8.0,3.2,2,5,5,0,1,1,2.42
STU000008,19,5.5,78.3,74.2,2.4,58.7,80.9,10.8,7.3,4.3,2,5,4,0,1,1,1.89
STU000009,22,17.4,99.5,82.2,2.5,60.0,70.9,6.3,8.5,3.8,4,8,6,1,0,1,2.25
STU000010,16,6.7,99.4,76.7,2.34,82.8,49.6,9.4,8.3,3.5,3,6,6,0,0,1,2.02
STU000011,20,11.4,71.2,92.9,1.51,63.3,68.4,0.9,7.3,3.8,2,8,4,1,0,1,1.6
STU000012,19,17.0,96.4,67.1,2.2,90.5,69.2,7.4,6.7,2.2,1,9,3,0,1,1,2.59
STU000013,19,4.5,95.2,93.5,2.87,79.0,92.4,0.6,6.0,5.4,3,4,5,1,1,1,2.64
STU000014,22,10.8,88.1,97.8,2.1,85.6,65.3,7.5,7.0,2.6,5,2,5,0,1,1,2.07
STU000015,20,13.9,64.5,63.9,4.0,63.6,77.7,11.0,6.3,5.8,4,10,9,1,0,1,2.21
STU000016,17,13.4,87.1,94.4,4.0,44.5,85.5,13.2,6.1,3.7,1,4,10,1,1,1,2.82
STU000017,22,20.0,73.8,86.5,3.24,56.7,57.2,4.7,9.2,3.1,1,5,4,0,1,0,1.91
STU000018,19,14.7,92.9,60.1,2.87,83.5,70.7,14.3,6.3,3.3,3,1,7,0,1,1,1.81
STU000019,21,25.3,93.8,85.1,2.22,51.9,60.3,10.2,6.9,2.2,2,3,9,0,1,1,1.68
STU000020,17,21.6,86.7,80.1,2.33,45.3,79.2,7.6,8.2,2.6,5,9,5,0,1,1,1.76
